Qty,Item,Notes,Cost (£),USD ($),Link
100,MX-Style key switches,Black 100pcs,21.49,28.68,https://www.aliexpress.com/item/1005006091988869.html
126,Cherry MX Key caps,Yunhu White,5.49,7.33,https://www.aliexpress.com/item/1005007321700850.html
1,Raspberry Pi Pico,USB C,1.93,2.58,https://www.aliexpress.com/item/1005006054409042.html
5,Plate-mount stabilizers,"4x 2u and 6.25u",4.29,5.79,https://www.aliexpress.com/item/1005002552011081.html
100,1N4148 diodes,Through-hole,0.89,1.19,https://www.aliexpress.com/item/4001126137167.html
50,Rubber feet pads,13x5.5mm,0.76,1.02,https://www.aliexpress.com/item/1005006832476105.html
5,Custom PCB,Gerber quote,11.76,15.72,https://jlcpcb.com/
2,3D Print case and plate,#printing-legion (estimate),8,10.68,https://www.github.com/gethin101
0,Shipping (will refund if extra),Told to put this,10,13.37,https://hackclub.enterprise.slack.com/archives/C083P4FJM46
390,Total cost:,May vary slightly,68.08,90.94,/Bom.md
